Year,Country,NumGames,Fairness,TeamRank,FinalPos
2018.0,Argentina,4,4513,11,12.5
2018.0,Australia,3,4833,41,24.5
2018.0,Belgium,7,4450,1,3.0
2018.0,Brazil,5,4544,3,6.5
2018.0,Colombia,4,4437,12,12.5
2018.0,Costa Rica,3,4756,36,24.5
2018.0,Croatia,7,4461,4,2.0
2018.0,Denmark,4,4680,10,12.5
2018.0,Egypt,3,4368,56,24.5
2018.0,England,7,4546,5,4.0
2018.0,France,7,4543,2,1.0
2018.0,Germany,3,4505,16,24.5
2018.0,Iceland,3,4643,37,24.5
2018.0,Iran,3,4645,29,24.5
2018.0,Japan,4,4598,50,12.5
2018.0,Mexico,4,4523,17,12.5
2018.0,Morocco,3,4686,40,24.5
2018.0,Nigeria,3,4668,44,24.5
2018.0,Panama,3,4851,71,24.5
2018.0,Peru,3,4751,20,24.5
2018.0,Poland,3,4494,20,24.5
2018.0,Portugal,4,4512,6,12.5
2018.0,Russia,5,4337,48,6.5
2018.0,Saudi Arabia,3,4426,69,24.5
2018.0,Senegal,3,4507,23,24.5
2018.0,Serbia,3,4739,29,24.5
2018.0,South Korea,3,4658,53,24.5
2018.0,Spain,4,4535,9,12.5
2018.0,Sweden,5,4503,14,6.5
2018.0,Switzerland,4,4621,8,12.5
2018.0,Tunisia,3,4684,26,24.5
2018.0,Uruguay,5,4152,7,6.5
