Year,Stage,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Half-time Home Goals,Half-time Away Goals,RoundID,Home Team Initials,Away Team Initials,home_rank,home_total_points,home_previous_points,home_rank_change,away_rank,away_total_points,away_previous_points,away_rank_change
1994.0,Group C,Spain,2.0,2.0,Korea Republic, ,0.0,0.0,337.0,ESP,KOR,2.0,62.0,61.0,3.0,35.0,41.0,41.0,0.0
1994.0,Group C,Germany,1.0,0.0,Bolivia, ,0.0,0.0,337.0,GER,BOL,5.0,61.0,61.0,1.0,44.0,37.0,37.0,1.0
1994.0,Group A,USA,1.0,1.0,Switzerland, ,1.0,1.0,337.0,USA,SUI,23.0,48.0,48.0,1.0,7.0,58.0,58.0,0.0
1994.0,Group E,Italy,0.0,1.0,Republic of Ireland, ,0.0,1.0,337.0,ITA,IRL,4.0,61.0,61.0,1.0,9.0,58.0,58.0,1.0
1994.0,Group A,Colombia,1.0,3.0,Romania, ,1.0,2.0,337.0,COL,ROU,17.0,53.0,53.0,2.0,11.0,57.0,57.0,0.0
1994.0,Group F,Belgium,1.0,0.0,Morocco, ,1.0,0.0,337.0,BEL,MAR,24.0,47.0,48.0,2.0,33.0,43.0,43.0,2.0
1994.0,Group E,Norway,1.0,0.0,Mexico, ,0.0,0.0,337.0,NOR,MEX,8.0,58.0,57.0,2.0,15.0,54.0,52.0,4.0
1994.0,Group B,Cameroon,2.0,2.0,Sweden, ,1.0,1.0,337.0,CMR,SWE,31.0,44.0,44.0,3.0,3.0,61.0,62.0,1.0
1994.0,Group F,Netherlands,2.0,1.0,Saudi Arabia, ,0.0,1.0,337.0,NED,KSA,6.0,60.0,60.0,0.0,27.0,45.0,45.0,0.0
1994.0,Group B,Brazil,2.0,0.0,Russia, ,1.0,0.0,337.0,BRA,RUS,1.0,67.0,67.0,0.0,13.0,54.0,54.0,1.0
1994.0,Group D,Argentina,4.0,0.0,Greece, ,2.0,0.0,337.0,ARG,GRE,10.0,57.0,58.0,1.0,28.0,45.0,43.0,4.0
1994.0,Group D,Nigeria,3.0,0.0,Bulgaria, ,2.0,0.0,337.0,NGA,BUL,12.0,54.0,54.0,0.0,16.0,54.0,52.0,1.0
1994.0,Group C,Germany,1.0,1.0,Spain, ,0.0,1.0,337.0,GER,ESP,5.0,61.0,61.0,1.0,2.0,62.0,61.0,3.0
1994.0,Group A,Romania,1.0,4.0,Switzerland, ,1.0,1.0,337.0,ROU,SUI,11.0,57.0,57.0,0.0,7.0,58.0,58.0,0.0
1994.0,Group A,USA,2.0,1.0,Colombia, ,1.0,0.0,337.0,USA,COL,23.0,48.0,48.0,1.0,17.0,53.0,53.0,2.0
1994.0,Group E,Italy,1.0,0.0,Norway, ,0.0,0.0,337.0,ITA,NOR,4.0,61.0,61.0,1.0,8.0,58.0,57.0,2.0
1994.0,Group C,Korea Republic,0.0,0.0,Bolivia, ,0.0,0.0,337.0,KOR,BOL,35.0,41.0,41.0,0.0,44.0,37.0,37.0,1.0
1994.0,Group E,Mexico,2.0,1.0,Republic of Ireland, ,1.0,0.0,337.0,MEX,IRL,15.0,54.0,52.0,4.0,9.0,58.0,58.0,1.0
1994.0,Group B,Sweden,3.0,1.0,Russia, ,1.0,1.0,337.0,SWE,RUS,3.0,61.0,62.0,1.0,13.0,54.0,54.0,1.0
1994.0,Group B,Brazil,3.0,0.0,Cameroon, ,1.0,0.0,337.0,BRA,CMR,1.0,67.0,67.0,0.0,31.0,44.0,44.0,3.0
1994.0,Group F,Belgium,1.0,0.0,Netherlands, ,0.0,0.0,337.0,BEL,NED,24.0,47.0,48.0,2.0,6.0,60.0,60.0,0.0
1994.0,Group F,Saudi Arabia,2.0,1.0,Morocco, ,2.0,1.0,337.0,KSA,MAR,27.0,45.0,45.0,0.0,33.0,43.0,43.0,2.0
1994.0,Group D,Argentina,2.0,1.0,Nigeria, ,2.0,1.0,337.0,ARG,NGA,10.0,57.0,58.0,1.0,12.0,54.0,54.0,0.0
1994.0,Group D,Bulgaria,4.0,0.0,Greece, ,1.0,0.0,337.0,BUL,GRE,16.0,54.0,52.0,1.0,28.0,45.0,43.0,4.0
1994.0,Group A,USA,0.0,1.0,Romania, ,0.0,1.0,337.0,USA,ROU,23.0,48.0,48.0,1.0,11.0,57.0,57.0,0.0
1994.0,Group A,Switzerland,0.0,2.0,Colombia, ,0.0,1.0,337.0,SUI,COL,7.0,58.0,58.0,0.0,17.0,53.0,53.0,2.0
1994.0,Group C,Germany,3.0,2.0,Korea Republic, ,3.0,0.0,337.0,GER,KOR,5.0,61.0,61.0,1.0,35.0,41.0,41.0,0.0
