Year,Country,Fairness,TeamRank,FinalPos
1994.0,Argentina,153,10,12.5
1994.0,Belgium,148,24,12.5
1994.0,Bolivia,164,44,24.5
1994.0,Brazil,159,1,1.0
1994.0,Bulgaria,156,16,4.0
1994.0,Cameroon,182,31,24.5
1994.0,Colombia,163,17,24.5
1994.0,Germany,140,5,6.5
1994.0,Greece,165,28,24.5
1994.0,Italy,170,4,2.0
1994.0,Mexico,177,15,12.5
1994.0,Morocco,152,33,24.5
1994.0,Netherlands,135,6,6.5
1994.0,Nigeria,156,12,12.5
1994.0,Norway,173,8,24.5
1994.0,Republic of Ireland,173,9,12.5
1994.0,Romania,159,11,6.5
1994.0,Russia,172,13,24.5
1994.0,Saudi Arabia,150,27,12.5
1994.0,South Korea,160,35,24.5
1994.0,Spain,139,2,6.5
1994.0,Sweden,165,3,3.0
1994.0,Switzerland,158,7,12.5
1994.0,USA,168,23,12.5
1998.0,Argentina,174,5,6.5
1998.0,Belgium,181,35,24.5
1998.0,Brazil,169,1,2.0
1998.0,Cameroon,177,41,24.5
1998.0,Chile,168,16,12.5
1998.0,Colombia,178,34,24.5
1998.0,England,167,9,12.5
1998.0,France,162,2,1.0
1998.0,Germany,174,3,6.5
1998.0,Italy,162,7,6.5
1998.0,Jamaica,188,33,24.5
1998.0,Japan,185,20,24.5
1998.0,Morocco,182,13,24.5
1998.0,Netherlands,170,11,4.0
1998.0,Nigeria,159,65,12.5
1998.0,Paraguay,145,25,12.5
1998.0,Romania,170,12,12.5
1998.0,Saudi Arabia,178,30,24.5
1998.0,Scotland,192,38,24.5
1998.0,South Africa,177,26,24.5
1998.0,South Korea,175,17,24.5
1998.0,Spain,141,15,24.5
1998.0,USA,186,23,24.5
1998.0,Yugoslavia,176,6,12.5
2002.0,Argentina,2025,5,24.5
2002.0,Belgium,1886,17,12.5
2002.0,Brazil,1893,1,1.0
2002.0,Cameroon,2066,16,24.5
2002.0,China PR,2237,63,24.5
2002.0,Costa Rica,2097,21,24.5
2002.0,Croatia,2071,32,24.5
2002.0,Denmark,2076,12,12.5
2002.0,Ecuador,2066,31,24.5
2002.0,England,2042,7,6.5
2002.0,France,1996,2,24.5
2002.0,Germany,1990,4,2.0
2002.0,Italy,1995,13,12.5
2002.0,Japan,1918,22,12.5
2002.0,Mexico,1968,8,12.5
2002.0,Nigeria,2134,29,24.5
2002.0,Paraguay,2035,18,12.5
2002.0,Poland,2102,34,24.5
2002.0,Portugal,2020,11,24.5
2002.0,Republic of Ireland,2054,14,12.5
2002.0,Russia,1918,23,24.5
2002.0,Saudi Arabia,2143,38,24.5
2002.0,Senegal,2137,27,6.5
2002.0,Slovenia,2094,36,24.5
2002.0,South Africa,2078,30,24.5
2002.0,South Korea,2061,20,
2002.0,Spain,1935,3,6.5
2002.0,Sweden,2127,25,12.5
2002.0,Tunisia,1982,41,24.5
2002.0,Turkey,2020,9,3.0
2002.0,Uruguay,2140,28,24.5
2002.0,USA,2007,10,6.5
2006.0,Angola,2857,55,24.5
2006.0,Argentina,2948,3,6.5
2006.0,Australia,3176,39,12.5
2006.0,Brazil,2291,1,6.5
2006.0,Costa Rica,3006,68,24.5
2006.0,Croatia,2931,15,24.5
2006.0,Czech Republic,3168,10,24.5
2006.0,Ecuador,2662,30,12.5
2006.0,England,2063,5,6.5
2006.0,France,2012,4,2.0
2006.0,Germany,2114,6,3.0
2006.0,Ghana,3542,28,12.5
2006.0,Iran,2681,38,24.5
2006.0,Italy,2798,2,1.0
2006.0,Ivory Coast,3580,18,24.5
2006.0,Japan,3239,47,24.5
2006.0,Mexico,2514,20,12.5
2006.0,Netherlands,3194,7,12.5
2006.0,Paraguay,2677,35,24.5
2006.0,Poland,2610,24,24.5
2006.0,Portugal,2139,8,4.0
2006.0,Saudi Arabia,2998,64,24.5
2006.0,Serbia and Montenegro,3775,36,24.5
2006.0,South Korea,2960,51,24.5
2006.0,Spain,2325,12,12.5
2006.0,Sweden,2464,14,12.5
2006.0,Switzerland,2598,17,12.5
2006.0,Togo,3035,60,24.5
2006.0,Trinidad and Tobago,3062,91,24.5
2006.0,Tunisia,2689,32,24.5
2006.0,Ukraine,2425,13,6.5
2006.0,USA,3566,31,24.5
2010.0,Algeria,2958,35,24.5
2010.0,Argentina,2388,5,6.5
2010.0,Australia,3230,26,24.5
2010.0,Brazil,2228,4,6.5
2010.0,Cameroon,3289,37,24.5
2010.0,Chile,3243,15,12.5
2010.0,Denmark,3169,28,24.5
2010.0,England,2450,6,12.5
2010.0,France,2498,18,24.5
2010.0,Germany,2561,3,3.0
2010.0,Ghana,3138,16,6.5
2010.0,Greece,2710,11,24.5
2010.0,Honduras,3677,59,24.5
2010.0,Italy,2192,14,24.5
2010.0,Ivory Coast,2828,21,24.5
2010.0,Japan,3183,29,12.5
2010.0,Korea DPR,3382,108,24.5
2010.0,Mexico,2570,27,12.5
2010.0,Netherlands,2236,2,2.0
2010.0,New Zealand,2651,63,24.5
2010.0,Nigeria,3001,32,24.5
2010.0,Paraguay,2325,24,6.5
2010.0,Portugal,2584,8,12.5
2010.0,Serbia,3209,23,24.5
2010.0,Slovakia,2303,20,12.5
2010.0,Slovenia,2749,17,24.5
2010.0,South Africa,2815,51,24.5
2010.0,South Korea,3079,40,12.5
2010.0,Spain,2306,1,1.0
2010.0,Switzerland,3353,22,24.5
2010.0,Uruguay,2212,7,4.0
2010.0,USA,2778,18,12.5
2014.0,Algeria,2687,18,12.5
2014.0,Argentina,2053,2,2.0
2014.0,Australia,3538,100,24.5
2014.0,Belgium,2218,4,6.5
2014.0,Bosnia and Herzegovina,2774,29,24.5
2014.0,Brazil,2524,6,4.0
2014.0,Cameroon,3175,42,24.5
2014.0,Chile,2840,14,12.5
2014.0,Colombia,2252,3,6.5
2014.0,Costa Rica,3270,16,6.5
2014.0,Croatia,2894,19,24.5
2014.0,Ecuador,2712,26,24.5
2014.0,England,3235,13,24.5
2014.0,France,2404,7,6.5
2014.0,Germany,2710,1,1.0
2014.0,Ghana,3721,37,24.5
2014.0,Greece,2846,24,12.5
2014.0,Honduras,3103,71,24.5
2014.0,Iran,3011,51,24.5
2014.0,Italy,3164,11,24.5
2014.0,Ivory Coast,2869,28,24.5
2014.0,Japan,3139,54,24.5
2014.0,Mexico,2927,20,12.5
2014.0,Netherlands,2488,5,3.0
2014.0,Nigeria,2935,43,12.5
2014.0,Portugal,3275,7,24.5
2014.0,Russia,2846,31,24.5
2014.0,South Korea,3154,69,24.5
2014.0,Spain,2720,9,24.5
2014.0,Switzerland,2473,12,12.5
2014.0,Uruguay,3132,10,12.5
2014.0,USA,3599,27,12.5
2018.0,Argentina,4513,11,12.5
2018.0,Australia,4833,41,24.5
2018.0,Belgium,4450,1,3.0
2018.0,Brazil,4544,3,6.5
2018.0,Colombia,4437,12,12.5
2018.0,Costa Rica,4756,36,24.5
2018.0,Croatia,4461,4,2.0
2018.0,Denmark,4680,10,12.5
2018.0,Egypt,4368,56,24.5
2018.0,England,4546,5,4.0
2018.0,France,4543,2,1.0
2018.0,Germany,4505,16,24.5
2018.0,Iceland,4643,37,24.5
2018.0,Iran,4645,29,24.5
2018.0,Japan,4598,50,12.5
2018.0,Mexico,4523,17,12.5
2018.0,Morocco,4686,40,24.5
2018.0,Nigeria,4668,44,24.5
2018.0,Panama,4851,71,24.5
2018.0,Peru,4751,20,24.5
2018.0,Poland,4494,20,24.5
2018.0,Portugal,4512,6,12.5
2018.0,Russia,4337,48,6.5
2018.0,Saudi Arabia,4426,69,24.5
2018.0,Senegal,4507,23,24.5
2018.0,Serbia,4739,29,24.5
2018.0,South Korea,4658,53,24.5
2018.0,Spain,4535,9,12.5
2018.0,Sweden,4503,14,6.5
2018.0,Switzerland,4621,8,12.5
2018.0,Tunisia,4684,26,24.5
2018.0,Uruguay,4152,7,6.5
