Year,Stage,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Half-time Home Goals,Half-time Away Goals,RoundID,Home Team Initials,Away Team Initials
1994.0,Group C,Spain,2.0,2.0,Korea Republic, ,0.0,0.0,337.0,ESP,KOR
1994.0,Group C,Germany,1.0,0.0,Bolivia, ,0.0,0.0,337.0,GER,BOL
1994.0,Group A,USA,1.0,1.0,Switzerland, ,1.0,1.0,337.0,USA,SUI
1994.0,Group E,Italy,0.0,1.0,Republic of Ireland, ,0.0,1.0,337.0,ITA,IRL
1994.0,Group A,Colombia,1.0,3.0,Romania, ,1.0,2.0,337.0,COL,ROU
1994.0,Group F,Belgium,1.0,0.0,Morocco, ,1.0,0.0,337.0,BEL,MAR
1994.0,Group E,Norway,1.0,0.0,Mexico, ,0.0,0.0,337.0,NOR,MEX
1994.0,Group B,Cameroon,2.0,2.0,Sweden, ,1.0,1.0,337.0,CMR,SWE
1994.0,Group F,Netherlands,2.0,1.0,Saudi Arabia, ,0.0,1.0,337.0,NED,KSA
1994.0,Group B,Brazil,2.0,0.0,Russia, ,1.0,0.0,337.0,BRA,RUS
1994.0,Group D,Argentina,4.0,0.0,Greece, ,2.0,0.0,337.0,ARG,GRE
1994.0,Group D,Nigeria,3.0,0.0,Bulgaria, ,2.0,0.0,337.0,NGA,BUL
1994.0,Group C,Germany,1.0,1.0,Spain, ,0.0,1.0,337.0,GER,ESP
1994.0,Group A,Romania,1.0,4.0,Switzerland, ,1.0,1.0,337.0,ROU,SUI
1994.0,Group A,USA,2.0,1.0,Colombia, ,1.0,0.0,337.0,USA,COL
1994.0,Group E,Italy,1.0,0.0,Norway, ,0.0,0.0,337.0,ITA,NOR
1994.0,Group C,Korea Republic,0.0,0.0,Bolivia, ,0.0,0.0,337.0,KOR,BOL
1994.0,Group E,Mexico,2.0,1.0,Republic of Ireland, ,1.0,0.0,337.0,MEX,IRL
1994.0,Group B,Sweden,3.0,1.0,Russia, ,1.0,1.0,337.0,SWE,RUS
1994.0,Group B,Brazil,3.0,0.0,Cameroon, ,1.0,0.0,337.0,BRA,CMR
1994.0,Group F,Belgium,1.0,0.0,Netherlands, ,0.0,0.0,337.0,BEL,NED
1994.0,Group F,Saudi Arabia,2.0,1.0,Morocco, ,2.0,1.0,337.0,KSA,MAR
1994.0,Group D,Argentina,2.0,1.0,Nigeria, ,2.0,1.0,337.0,ARG,NGA
1994.0,Group D,Bulgaria,4.0,0.0,Greece, ,1.0,0.0,337.0,BUL,GRE
1994.0,Group A,USA,0.0,1.0,Romania, ,0.0,1.0,337.0,USA,ROU
1994.0,Group A,Switzerland,0.0,2.0,Colombia, ,0.0,1.0,337.0,SUI,COL
1994.0,Group C,Germany,3.0,2.0,Korea Republic, ,3.0,0.0,337.0,GER,KOR
1994.0,Group C,Bolivia,1.0,3.0,Spain, ,0.0,1.0,337.0,BOL,ESP
1994.0,Group E,Republic of Ireland,0.0,0.0,Norway, ,0.0,0.0,337.0,IRL,NOR
1994.0,Group B,Brazil,1.0,1.0,Sweden, ,0.0,1.0,337.0,BRA,SWE
1994.0,Group E,Italy,1.0,1.0,Mexico, ,0.0,0.0,337.0,ITA,MEX
1994.0,Group B,Russia,6.0,1.0,Cameroon, ,3.0,0.0,337.0,RUS,CMR
1994.0,Group F,Morocco,1.0,2.0,Netherlands, ,0.0,1.0,337.0,MAR,NED
1994.0,Group F,Belgium,0.0,1.0,Saudi Arabia, ,0.0,1.0,337.0,BEL,KSA
1994.0,Group D,Greece,0.0,2.0,Nigeria, ,0.0,1.0,337.0,GRE,NGA
1994.0,Group D,Argentina,0.0,2.0,Bulgaria, ,0.0,0.0,337.0,ARG,BUL
1994.0,Round of 16,Germany,3.0,2.0,Belgium, ,3.0,1.0,338.0,GER,BEL
1994.0,Round of 16,Spain,3.0,0.0,Switzerland, ,1.0,0.0,338.0,ESP,SUI
1994.0,Round of 16,Saudi Arabia,1.0,3.0,Sweden, ,0.0,1.0,338.0,KSA,SWE
1994.0,Round of 16,Romania,3.0,2.0,Argentina, ,2.0,1.0,338.0,ROU,ARG
