,Year,Host,Champion,Runner Up,Third Place,Teams,Matches Played,Goals Scored,Avg Goals Per Game
0,2018,Russia,France,Croatia,Belgium,32,64,169,2.6
1,2014,Brazil,Germany,Argentina,Netherlands,32,64,171,2.7
2,2010,South Africa,Spain,Netherlands,Germany,32,64,145,2.3
3,2006,Germany,Italy,France,Germany,32,64,147,2.3
4,2002,"South Korea, Japan",Brazil,Germany,Turkey,32,64,161,2.5
5,1998,France,France,Brazil,Croatia,32,64,171,2.7
6,1994,United States,Brazil,Italy,Sweden,24,52,141,2.7
7,1990,Italy,West Germany,Argentina,Italy,24,52,115,2.2
8,1986,Mexico,Argentina,West Germany,France,24,52,132,2.5
9,1982,Spain,Italy,West Germany,Poland,24,52,146,2.8
10,1978,Argentina,Argentina,Netherlands,Brazil,16,38,102,2.7
11,1974,West Germany,West Germany,Netherlands,Poland,16,38,97,2.6
12,1970,Mexico,Brazil,Italy,West Germany,16,32,95,3.0
13,1966,England,England,West Germany,Portugal,16,32,89,2.8
14,1962,Chile,Brazil,Czechoslovakia,Chile,16,32,89,2.8
15,1958,Sweden,Brazil,Sweden,France,16,35,126,3.6
16,1954,Switzerland,West Germany,Hungary,Austria,16,26,140,5.4
17,1950,Brazil,Uruguay,Brazil,Sweden,13,22,88,4.0
18,1938,France,Italy,Hungary,Brazil,15,18,84,4.7
19,1934,Italy,Italy,Czechoslovakia,Germany,16,17,70,4.1
20,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
